id,value
5697,697
7926,926
48589,589
4784,784
388230,230
335654,654
34097,97
393587,587
291067,67
421303,303
409194,194
306054,54
410118,118
325738,738
177736,736
139659,659
126785,785
326786,786
342308,308
420471,471
400358,358
75973,973
181169,169
466821,821
245547,547
408808,808
375584,584
298561,561
284585,585
156086,86
327951,951
289729,729
158955,955
97659,659
365900,900
463530,530
153234,234
235196,196
405625,625
71061,61
316023,23
16667,667
198530,530
246549,549
398248,248
336117,117
427601,601
471953,953
62972,972
269078,78
2457,457
274327,327
260892,892
146255,255
176169,169
196364,364
13815,815
159716,716
249003,3
254081,81
374942,942
114749,749
470735,735
380948,948
147011,11
38161,161
168280,280
86280,280
275440,440
190705,705
344263,263
399474,474
240632,632
160054,54
197560,560
151145,145
322076,76
113699,699
499450,450
130309,309
255682,682
128964,964
193200,200
356273,273
8389,389
120757,757
79708,708
372203,203
417368,368
328007,7
363636,636
32453,453
17197,197
416234,234
481263,263
246670,670
374045,45
249351,351
325167,167
300402,402
49653,653
9257,257
62427,427
94029,29
68512,512
364261,261
313585,585
433898,898
45816,816
202072,72
485825,825
241684,684
380129,129
406939,939
386634,634
97970,970
88761,761
98073,73
117203,203
57666,666
83706,706
345409,409
587,587
428082,82
411047,47
349146,146
54807,807
203629,629
343294,294
151808,808
94890,890
339647,647
428788,788
230400,400
430975,975
140089,89
171726,726
247904,904
403545,545
435828,828
371605,605
55035,35
480654,654
489339,339
131114,114
318713,713
350080,80
242355,355
172205,205
151619,619
310911,911
208240,240
391239,239
37656,656
350211,211
19635,635
278775,775
306783,783
42387,387
173462,462
325248,248
416469,469
88984,984
35727,727
79689,689
395400,400
341888,888
164613,613
132165,165
468007,7
132572,572
368402,402
368229,229
178919,919
371584,584
276162,162
436691,691
420814,814
456989,989
288962,962
43131,131
247613,613
9323,323
273264,264
478234,234
5621,621
424016,16
59440,440
325172,172
243527,527
91303,303
92892,892
126521,521
329944,944
351240,240
491658,658
460357,357
458424,424
6931,931
298449,449
237949,949
259519,519
292505,505
299213,213
70734,734
353639,639
15959,959
269659,659
484926,926
150191,191
291198,198
462679,679
418303,303
13827,827
494135,135
49983,983
476292,292
431293,293
232949,949
133149,149
470613,613
66250,250
387147,147
326291,291
380247,247
269895,895
447417,417
369441,441
157533,533
67465,465
183581,581
495353,353
417384,384
210882,882
116316,316
419784,784
459269,269
342480,480
347378,378
392084,84
420481,481
431732,732
259792,792
350165,165
465921,921
442948,948
248817,817
17420,420
489395,395
38497,497
147153,153
312447,447
389369,369
161696,696
94744,744
109990,990
386310,310
27854,854
382846,846
115167,167
234938,938
174512,512
212051,51
79280,280
184802,802
344700,700
204052,52
45229,229
428807,807
329816,816
184755,755
334214,214
57512,512
377450,450
358429,429
118619,619
283238,238
192468,468
356583,583
401553,553
450036,36
480105,105
36129,129
380102,102
44719,719
315345,345
278759,759
81780,780
186859,859
339238,238
306782,782
119785,785
190384,384
487707,707
142491,491
271252,252
122586,586
202630,630
40555,555
464688,688
235311,311
219348,348
48022,22
289693,693
487373,373
295827,827
476890,890
487068,68
287297,297
233028,28
17133,133
186419,419
359453,453
355659,659
181483,483
333655,655
447374,374
202196,196
122173,173
180786,786
430143,143
316094,94
265909,909
33871,871
264609,609
216225,225
265381,381
409700,700
353888,888
475157,157
15234,234
187410,410
116323,323
307174,174
220841,841
390172,172
44446,446
148731,731
216980,980
427581,581
400942,942
262974,974
66212,212
454534,534
146300,300
175749,749
483796,796
33926,926
227871,871
327404,404
35057,57
396383,383
385814,814
141126,126
159886,886
446656,656
195363,363
200991,991
450731,731
443020,20
294654,654
218984,984
7450,450
130082,82
383653,653
132122,122
239436,436
255020,20
307691,691
259082,82
262940,940
247990,990
113106,106
90833,833
148999,999
252845,845
295591,591
202665,665
181763,763
304203,203
125847,847
349160,160
463000,0
3232,232
149601,601
380715,715
141409,409
498855,855
31167,167
29426,426
352164,164
288790,790
388413,413
213563,563
234956,956
249741,741
434905,905
113225,225
446677,677
150083,83
346710,710
262759,759
6159,159
64802,802
8478,478
479405,405
44711,711
405920,920
264647,647
288165,165
126081,81
46230,230
176503,503
69287,287
402705,705
302020,20
207233,233
257123,123
111648,648
403787,787
38804,804
247849,849
189281,281
257857,857
264910,910
382743,743
306877,877
336480,480
157802,802
220651,651
403257,257
82131,131
335507,507
157026,26
